# Barbour and Agnew 2011, BSM Seismic Noise
#
# Summary noise levels of PBO borehole strainmeters in southern California
#
#	freq	frequency
#	P50	strain power at 50% variation (median)
#	P10	strain power at 10% variation
#	dB	relative to 1 strain**2/Hz
# 	NA	power levels affected by instrumental noise source
#
# Hz	dB	dB
freq	P50	P10
0.001000 -166.8 -171.7
0.002000 -174.0 -179.5
0.003600 -176.4 -185.2
0.006000 -181.0 -186.0
0.009000 -184.6 -192.5
0.009868 -185.4 -192.1
0.010820 -186.1 -191.0
0.011864 -186.9 -191.6
0.013009 -187.7 -192.3
0.014264 -188.4 -193.0
0.015000 -188.6 -193.6
0.016447 -189.3 -194.2
0.018034 -190.0 -194.9
0.019774 -190.7 -195.5
0.021682 -191.4 -195.9
0.023773 -192.0 -196.4
0.026067 -192.6 -196.8
0.028582 -193.1 -197.2
0.030000 -193.9 -199.0
0.032894 -194.5 -199.1
0.036068 -195.1 -199.4
0.039548 -195.5 -199.6
0.043363 -195.8 -199.8
0.047547 -195.4 -199.8
0.052134  NA   NA
0.057164  NA   NA
0.060000  NA   NA
0.065789  NA   NA
0.072136 -197.2 -201.1
0.079095 -198.1 -201.4
0.086726 -198.4 -201.6
0.095094 -198.3 -201.8
0.104270 -196.5 -201.4
0.114330 -193.8 -200.2
0.125360 -192.9 -199.1
0.137450 -191.8 -199.0
0.150710 -190.3 -199.1
0.165250 -190.3 -198.8
0.181200 -191.6 -198.6
0.198680 -193.4 -199.8
0.217850 -195.6 -200.1
0.238860 -196.9 -200.5
0.250000 -197.1 -200.9
0.274120 -197.9 -201.3
0.300570 -198.9 -201.9
0.329560 -200.1 -202.9
0.361360 -200.9 -203.5
0.396220 -201.3 -203.8
0.434450 -201.5 -204.0
0.476370 -201.8 -204.1
0.522320 -202.0 -204.3
0.572720 -202.2 -204.5
0.627970 -202.4 -204.6
0.688560 -202.5 -204.7
0.754990 -202.5 -204.7
0.827830 -202.6 -204.8
0.907700 -202.7 -204.8
0.995270 -202.7 -204.8
1.000000 -202.7 -205.1
1.096500 -202.8 -205.2
1.202300 -202.8 -205.2
1.318300 -202.8 -205.2
1.445400 -202.8 -205.2
1.584900 -202.8 -205.2
1.737800 -202.8 -205.1
1.905500 -202.8 -205.1
2.089300 -202.8 -205.1
2.290900 -202.8 -205.1
2.511900 -202.8 -205.1
2.754200 -202.8 -205.0
3.019900 -202.7 -205.0
3.311300 -202.8 -205.0
3.630800 -202.8 -205.0
3.981100 -202.7 -205.0
4.365200 -202.7 -204.9
4.786300 -202.7 -204.9
5.248100 -202.7 -204.9
5.754400 -202.6 -204.9
6.309600 -202.6 -204.9
6.918300 -202.5 -204.8
7.585800 -202.5 -204.8
8.317600 -202.5 -204.8
9.120100 -202.4 -204.8
