# Barbour and Agnew 2011, BSM Seismic Noise
#
# Noise levels of long-baseline laser strainmeters
#
#	freq	frequency
#	P50	strain power at 50% variation (median)
#	P10	strain power at 10% variation
#	dB	relative to 1 strain**2/Hz
#
# Hz	dB	dB
freq	P50	P10
0.001000 -166.8 -174.3
0.001259 -168.4 -175.1
0.001585 -172.5 -177.7
0.002332 -178.6 -183.5
0.002719 -182.4 -186.5
0.003170 -184.8 -188.4
0.003600 -185.3 -189.2
0.004039 -186.8 -190.4
0.004532 -188.0 -191.4
0.005085 -188.9 -192.1
0.005706 -189.6 -192.9
0.006000 -189.4 -193.1
0.006579 -190.1 -193.9
0.007214 -190.6 -194.5
0.007909 -191.1 -195.1
0.008673 -191.6 -195.5
0.009000 -191.5 -195.7
0.009868 -192.0 -196.1
0.010820 -192.4 -196.5
0.011864 -192.8 -197.0
0.013009 -193.1 -197.4
0.014264 -193.5 -197.7
0.015000 -193.8 -198.1
0.016447 -194.2 -198.4
0.018034 -194.8 -198.7
0.019774 -195.4 -199.0
0.021682 -195.9 -199.2
0.023773 -196.3 -199.5
0.026067 -196.7 -199.7
0.028582 -197.1 -199.9
0.030000 -197.3 -200.3
0.032894 -197.6 -200.4
0.036068 -197.9 -200.6
0.039548 -198.1 -200.7
0.043363 -198.3 -200.8
0.047547 -198.5 -200.9
0.052134 -198.7 -200.9
0.057164 -198.8 -201.0
0.060000 -199.0 -201.5
0.065789 -199.1 -201.6
0.072136 -199.2 -201.7
0.079095 -199.3 -201.7
0.086726 -199.3 -201.7
0.095094 -199.0 -201.5
0.104270 -198.5 -201.3
0.114330 -197.5 -200.9
0.125360 -196.2 -200.6
0.137450 -195.3 -200.5
0.150710 -195.1 -200.6
0.165250 -195.9 -200.9
0.181200 -197.4 -201.4
0.198680 -198.8 -202.0
0.217850 -199.8 -202.5
0.238860 -200.5 -202.9
0.261910 -200.9 -203.1
0.287180 -201.3 -203.3
0.314880 -201.6 -203.6
0.345260 -202.0 -203.9
