"p(f), created by Plot Digitizer, 2.5.1"
"Date: 2/28/12, 3:20:12 PM"


105
f,p
0.0146063,4.03289
0.0978366,3.93999
0.181272,3.50478
0.236981,3.11751
0.292690,2.77303
0.348347,2.52511
0.431680,2.35398
0.514910,2.29975
0.570107,2.58588
0.597526,2.97643
0.624688,3.85190
0.651748,5.22407
0.678911,6.76063
0.678347,8.74875
0.677732,11.5900
0.677220,14.6509
0.676605,19.4090
0.703819,24.5359
0.730981,31.7527
0.785819,42.0683
0.813033,53.1808
0.868075,64.1531
0.895597,70.4610
0.950895,75.5999
1.03402,77.4026
1.08963,72.1537
1.14529,65.7028
1.17327,58.4403
1.22924,46.2348
1.25747,36.5769
1.28576,28.2661
1.31416,20.8434
1.31467,16.4888
1.31544,11.6016
1.34547,4.04129
1.37468,2.04820
1.37550,1.40774
1.43137,1.16718
1.51495,0.967760
1.59834,0.881275
1.65318,1.16758
1.65277,1.40835
1.68008,1.69885
1.73497,2.19863
1.76224,2.71503
1.78950,3.35271
1.84434,4.44192
1.87171,5.23403
1.92701,5.61576
2.03791,5.61673
2.12145,4.76753
2.14969,3.77165
2.23389,2.36062
2.26254,1.54824
2.31866,1.14172
2.34710,0.822404
2.34874,0.388495
2.35008,0.211229
2.40620,0.155767
2.46206,0.129148
2.62857,0.120411
2.71154,0.132262
2.73901,0.148712
2.79416,0.171180
2.90465,0.206515
3.04329,0.206560
3.12687,0.171269
3.21077,0.123379
3.23932,0.0848027
3.26817,0.0506419
3.29703,0.0302420
3.32516,0.0250729
3.40855,0.0228322
3.54702,0.0245006
3.62995,0.0275501
3.71287,0.0309792
3.79564,0.0373725
3.85068,0.0450832
3.87815,0.0506902
3.96097,0.0597348
4.07177,0.0626122
4.21041,0.0626257
4.46020,0.0557226
4.59893,0.0531826
4.65423,0.0570613
4.73710,0.0656850
4.76452,0.0756056
4.81972,0.0850124
4.87492,0.0955895
5.01350,0.0978774
5.09688,0.0891306
5.15279,0.0721874
5.20886,0.0544956
5.26524,0.0357432
5.32151,0.0245686
5.34965,0.0203692
5.40530,0.0185481
5.48817,0.0213513
5.51549,0.0257554
5.57064,0.0296466
5.59806,0.0341242
5.70881,0.0366161
5.81971,0.0366224
5.90299,0.0349500
6.01380,0.0366335
